ID,Title
T20260428.0044,PTI Links
T20260423.0175,Synergetic  General Ledger -  Accumulated Earnings Account #999998 - Year Ended 31.12.25 and Year Commencing 01.01.26
T20260421.0407,FW: STP file
T20260416.0106,PTI Link Generator
T20260415.0161,Updated Page Feild
T20260407.0198,Assistance for Teams phone system
T20260331.0289,Synergetic Security Actions
T20260325.0102,Synergetic - Payslips
T20260324.0351,FW: Reports for Synergic 
T20260319.0062,Synergetic - Assistance with G/L Batch
T20260316.0404,Synergetic - General Journal Entry
T20260316.0041,Synergetic Error message
T20260304.0079,PTI LInks
T20260303.0120,PTI Link Generator App
T20260225.0528,CSV upload functionality for PTI App
T20260217.0110,Urgent - Request for Creation of MS Query
T20260207.0100,AMC-AZ-SYNBE has less than 5% disk space available on F:
T20260203.0396,Student emails in synergetic
T20260130.0222,Enable Student Onboarding Task
T20260128.1238,2026 Teams classes creation
T20260128.0895,Staff extensions list from sasboss
T20260123.0052,PTI Link Generator Project
T20260122.0076,Government Student Number
T20260121.0253,ID 222893
T20251209.0218,Year 7 Onboarding
T20251209.0201,Debtor Fee Description issue
T20251209.0199,AD account missing for a new Staff
T20251209.0198,Send Email to Secondary Contact
T20251209.0102,Fw: Fee Instalment / arrangement query
T20251208.0277,Synergetic Permission changes for Josie
T20251208.0274,Tuition Fee Statement Generation for 2026
T20251205.0127,Synergetic Help
T20251204.0186,Tuition Letter Mail Help - Synergetic
T20251128.0215,Urgent Syngertic user account creation
T20251124.0094,Default file year to 2025 Term 4
T20251120.0152,Request for Automation Scripts List
T20251110.0110,Alii - Synergetic Connector Upgrade
T20251031.0278,New year 7 list from Synergetic
T20251030.0394,Statements from Synergetic.
T20251030.0297,Synergetic Error
T20251024.0186,Team Set up
T20251006.0077,Timetable Sync
T20251002.0090,FW: Synergetic Issues
T20250924.0078,Teams Set up
T20250922.0376,Review User Accounts
T20250827.0295,Parents email list
T20250820.0106,Call Log
T20250808.0341,Changes to Onboarding/offboarding DL
T20250731.0156,Setting up classnotebook in teams
T20250728.0333,Sem 2 Teams Class Creation
T20250725.0188,Ave Events Calendar - WORKFLOWS
T20250722.0501,Synergetic Issue
T20250721.0096,Simon/Outlook Sync
T20250711.0166,Synergetic Authentication
T20250701.0111,Call logs for reception from 10 June
T20250627.0151,FW: Current Phone Export
T20250620.0248,Synergetic records not coming up in AD
T20250620.0088,Reception Phone Transfer
T20250618.0357,Issue with Payslip Generation
T20250611.0227,Add Year 7 to Teams channel
T20250610.0044,Email Group
T20250605.0164,Ave Events Calendar/Application Process Upgrades Mtg
T20250529.0128,Update to Debtor Statements
T20250528.0370,Assistance for MS Queries - Finance
T20250523.0114,The excel sheet is not showing any data
T20250519.0399,Fw: List of staff exited from last 4 years and their home email/phone number
T20250509.0239,Update to MS Query
T20250502.0142,Add New Student Photo
T20250428.0106,Calendar Sync Issue
T20250409.0251,Photos Permission Update
T20250407.0219,FW: Ticket #478013 Synergetic - Wonde connection failing - Ave Maria College
T20250404.0073,2025 Photo upload Staff and Students
T20250403.0309,Create an account
T20250325.0337,Payroll change of date from 01.01.25 to 31.12.24     General Ledger account balances not reflecting entries from payroll 31.12.24
T20250319.0252,Finance Office:    Tuition Fee Statements  request
T20250319.0127,Synergetic Access
T20250228.0167,Census_ lote
T20250225.0315,Help with Sending Tuition Fee Reminder Emails
T20250219.0265,Review All Synergetic user's permissions and Clean Up
T20250214.0335,Assistance with Synergetic Search
T20250210.0133,New email from Deanne.Telford@avemaria.vic.edu.au
T20250207.0481,Ave Maria College - 2025 levies invoicing and fee statement issue
T20250204.0165,Payroll Journal
T20250130.0375,Teams Class Creation - Sem 1 2025
T20250124.0234,Update Community Barcode
T20250124.0081,Extension List
T20250123.0236,Delete all Current students from Future Students
T20250123.0202,Sasboss access to Sreejith and Usama
T20250122.0177,Re: Synergetic Payroll Assistance
T20250120.0166,FW: MACS Procurement: Non-ICON Spend Data Refresh (November 2024)
T20250120.0139,Timetable Sync to Outlook
T20250109.0058,Student Account - 222111
T20250106.0193,New Students Onboarding
T20241213.0119,Finance office request for data / query
T20241211.0213,Synergetic MS Query
T20241203.0209,Emergency call
T20241128.0240,MS Query request
T20241125.0359,Year 7 Students 2025
T20241114.0365,Synergetic Rollover - Urgent
T20241108.0146,FW: Synergetic Access for Deanne and Tanya
T20241030.0275,Creditor Payment Selection in Synergetic
T20241016.0205,[SUSPICIOUS MESSAGE] Re: Ave Learning - Year 7 data import 2025
T20241010.0589,Additional Phone Numbers - AVE
T20240923.0180,Synergetic - Add Pay Code to Current Pay
T20240919.0347,Synergetic Assistance - Enrolment deposit repayments
T20240918.0223,Synergetic - Student Rollover & Fee Generation
T20240918.0047,Unable to send SMS message to Family/Parent via Synergetic
T20240911.0142,Assistance with SYNERGETIC REPORT: PAYLVI.rpt
T20240910.0328,Synergetic Email Changes
T20240909.0276,Dual Branding - MACS & Ave Maria College on FEE STATEMENTS
T20240909.0264,SYNERGETIC - Cash Receipts Posting #29532
T20240905.0288,Finance - MS Query
T20240829.0140,Urgent - MS Query
T20240827.0324,Timeout period & LWOP Leaves
T20240827.0260,Data Extract from CEVN - catholic schools database system
T20240827.0168,Synergetic Access - Saurabh
T20240822.0229,List of Families and their Primary contact email.
T20240821.0047,Reception Teams Extension
T20240814.0339,Alumni Emails - Assistance Required by Monday 19 August
T20240808.0153,FW: Emergency Procedures  - Follow up
T20240724.0110,New Staff member – starting 29 July 2024 - Diane Ryan
T20240718.0418,Timetable Import
T20240718.0410,Ave Term 3 Rollover
T20240712.0081,Timetable import into Calendar
T20240710.0271,Re: Teachers missing from data
T20240619.0253,Emergency Call C105 Today
T20240527.0050,Phone Extension Andrea Tacona
T20240520.0373,AVE Time Entry
T20240501.0042,Synergetic Receipt incorrect Date
T20240422.0131,Fwd: Reports
T20240417.0078,Emergency Call Notification
T20240410.0247,Night switch Time
T20240404.0200,NAB Transact 280324
T20240404.0147,FW: School Logo
T20240328.0273,ON boarding Off boarding meeting
T20240327.0201,Migrate AMC-AZ-SYNDEV01
T20240327.0197,Update SMTP details in Synergetic & Simon
T20240326.0387,Synergetic Issues
T20240325.0238,Meeting - NCCD Portal
T20240322.0300,DOC MAn and Alii
T20240319.0240,Updating of Student photos on Simon
T20240301.0030,FW: Year 7 2024 Students - Urgent
T20240226.0095,Walk In - Other: provide more infomation below
T20240223.0202,Synergetic Error
T20240222.0181,MS Query
T20240215.0325,Ave Events Calendar
T20240214.0126,Urgent Synergetic Request
T20240212.0195,Urgent assistance with Synergetic
T20240209.0356,Access to synweb synergetic
T20240208.0264,FW: Synergetic - MACS Notes and Codes Changes Now Available
T20240206.0031,Teams classes missing
T20240131.0694,Alii Update
T20240130.0527,Teams Phone - Absence line
T20240130.0526,Teams Phone - Reception Issues
T20240129.0074,Bulk Team - Ave Maria College
T20240124.0174,Phone contact update request - Peter Vartto
T20240123.0089,update the email address field in the synergetic for year 7 students and the new students for other levels
T20240122.0278,Synergetic Access
T20240117.0313,FW: Ave Maria College - Bluenet
T20231219.0297,FW: M2 On Hold script update - Ave Maria College - November 2023
T20231208.0310,Account Creation
T20231208.0272,Refresh Sandbox from Prod
T20231205.0145,Upload of Mentor Groups to Synergetic - Term 1 2024 - Due Friday 7 Dec 2023
T20231122.0357,Create new IT staff account
T20231026.0044,Weekly Catchup
T20231017.0357,Urgent Assistance with MS Query
T20230911.0376,Ave Onsite
T20230804.0363,Ave Onsite
T20230728.0334,Alli Database connection error
T20230714.0137,Ave Onsite
T20230622.0050,Alli - Synergetic
T20230621.0182,Teams setup for Term 3
T20230620.0303,"Maria De Fazio shared the folder ""AMC Registrar Template"" with you."
T20230602.0325,Remove bank details for all Staff who have left
T20230602.0312,Script to bulk Upload staff photos to O365
T20230505.0465,Ave Onsite
T20230504.0601,Having trouble deleting files from Teams ( Share point)
T20230426.0566,Copy of current Synergetic Data to Sandbox version
T20230418.0202,AVE - Calendar work flow updated
T20230413.0208,Synergetic
T20230317.0234,Synergetic Timetable Configuration
T20230315.0369,Adobe/Synergetic Issue
T20230310.0339,Setting up an alert from the Ave Events Calendar when someone creates one of the following events:  Assessment; Community; Excursion and Incursion
T20230310.0299,Ave Onsite
T20230309.0410,Add Email address in Synergetic
T20230226.0045,Provision of Laptop
T20230120.0259,"Adding ""Dane Calleja"" in Teams groups and Channels"
T20230118.0275,Update Synergetic notifications group
T20221220.0087,New SQL Jobs to be scheduled
T20221220.0083,Class teams to be created
T20221201.0152,Synergetic - Upload of Mentor Groups
T20221128.0126,Synergetic Sandpit
T20221123.0392,Synergetic Clean Up
T20221121.0460,Simon Synergetic Sync
T20221121.0249,Error message Synergetic
T20221114.0098,Synergetic shutting down
T20221111.0170,Synergetic Registrar Account
T20221110.0414,Student Address Data
T20221108.0448,Synergetic DEV Update
T20221104.0481,Synergetic - Sending Emails from Registrar
T20221006.0706,Fw: Student Import.xlsx
T20220927.0126,New staff member AD account not created
T20220920.0330,Student's alias
T20220920.0136,RE: SQL on SIMON Server
T20220905.0313,Request from Tanya
T20220831.0085,SynWeb
T20220830.0187,HEIC Files
T20220822.0258,Offboarding script for staff
T20220726.0412,Acer Dashboard
T20220722.0251,Power Apps Send As
T20220708.0064,FW: Teams Class setup - Semester 2
T20220704.0137,synergetic versions
T20220630.0133,Synergetic
T20220628.0148,SQL Server access for Synergetic Simon
T20220622.0070,AP create a vendor message
T20220530.0069,SharePoint  Permissions Audit
T20220518.0225,Ave Maria Staff - Parental Leave
T20220517.0383,MS Query Help
T20220513.0045,Ave Administration - School Advisory Council and School Advisory Council Members
T20220503.0049,[Fwd: ##3707## : Sharepoint]
T20220420.0109,Ave Maria - SQL Queries - Simon Intergration
T20220420.0071,Ave Maria - Cannot login to Synergetic
T20220414.0130,Access request
T20220414.0126,Sharepoint - Specific access
T20220406.0296,DELAY IN PRINTING OF RECEIPTS FROM SYNERGETIC
T20220330.0053,FW: AMC - School Advisory Council
T20220329.0035,Ave maria - Principal\PA file access - Reports required
T20220328.0399,FW: Michelle Robertson wants to access 'Governance'
T20220325.0245,AMC-AZ-DBoard - SQL sync
T20220325.0067,Sharepoint Permissions
T20220324.0255,Synergetic Dev Servers
T20220317.0222,Ave Maria FW: Queries - Simon\Synergetic
T20220316.0265,Ave Maria - Sharepoint Changes
T20220310.0323,MRO - SYNERGETIC MESSAGE
T20220304.0215,Events Calendar Workflow - First Aid
T20220303.0198,instructions-schools-transfer-contact-details-local-council-synergetic
T20220301.0166,Synergetic Access - Principal
T20220225.0074,Synergetic Update
T20220223.0323,Assisting Cathy with Linking Sharepoint Calendar to Outlook
T20220217.0447,College Phone #7
T20220217.0207,FW: School Advisory Tabs in Ave Admin
T20220204.0417,Urgent SAS\Pay3 request from Business manager
T20220202.0198,synergetic problem - cheque numbers
T20220201.0551,Staff onboarding remote routing address
T20220131.0165,Updated Data for MS Teams
T20220127.0529,MS Queries
T20220112.0035,Teams creation for 2022
T20211210.0080,Ave Meetings
T20211210.0055,Ave OnBoarding - New staff Member
T20211209.0105,Acer - Dashboard database error
T20211208.0188,Synergetic - Restore to Dev server
T20211201.0354,Ave Maria - OnBoarding tab not showing
T20211122.0157,Automate approval of new e-mail Distribution Lists via Microsoft Forms and Power Automate
T20211119.0298,Markbook
T20211115.0144,Synergetic error through Electronic Banking > Automatic Credit Card Receipts
T20211111.0050,Synergetic Staff Leaving Notification
T20211110.0311,Student export required for 2022 Year 7 students
T20211109.0594,Publishing SharePoint Calendar
T20211108.0134,Simon account - Synergetic server
T20211015.0052,Amendment to the Ave Events Calendar
T20211013.0247,Assistance with MS Query - Due tomorrow (if possible)
T20211006.0266,Workflows broken?
T20211004.0233,Synergetic Action Centre
T20210923.0622,MS Query - Family Count
T20210914.0030,FW: Error sending message to 1 recipients
T20210902.0181,FW: Campus data for SIMON
T20210826.0343,SharePoint Calendar - ICS link
T20210816.0381,Calendar Entry Not Visible
T20210811.0333,Timetable Import into Synergetic
T20210806.0417,Onsite Support 06/08/2021
T20210803.0088,Microsoft Flow Approvals
T20210729.0384,FW: screen shot
T20210726.0258,Ave Maria - Synergetic night import from Timetabler
T20210723.0322,bulk populate tutor field on Synergetic
T20210723.0206,Synergetic Email Comms
T20210720.0482,FW: Ave Maria College - Synergetic BPay File
T20210719.0400,Synergetic Issue - Urgent
T20210716.0290,MRO - Debtor Comms update
T20210716.0241,Onboarding Userform
T20210716.0229,Workflows Ave Calendar to Admin Helpdesk
T20210713.0320,APPROVALS - Workflows for Ave Events Calendar
T20210712.0150,Synergetic - Daily Exports
T20210621.0231,AMC Teams Semester Two
T20210621.0215,Synergetic Requests
T20210615.0123,Synergetic Report Request
T20210607.0503,FW: Creditor List and Remittance Advise order
T20210607.0304,RE: Synergetic Issue
T20210607.0148,MRO - Synergetic error
T20210601.0455,Staff on and off-boarding Alerts
T20210528.0205,Update email template that to include approvers comment
T20210528.0196,Update Budget area's in Ave Calendar
T20210527.0301,Ave Calendar
T20210526.0114,Ave Onsite
T20210525.0140,Synergetic
T20210525.0093,Synergetic problem
T20210524.0257,2021 Family Loan List.xlsx
T20210521.0207,FW: I got the email
T20210507.0149,Purchase Order authorisation
T20210507.0060,OnSite Visit
T20210506.0179,Upload to Synergetic
T20210504.0027,Ave Events Calendar - PROBLEM
T20210429.0174,Updated Excel templates reporting incorrect Synergetic data
T20210429.0168,Synergetic Email Add
T20210427.0138,Can I send as AP Students from Synergetic for e-mail notices
T20210423.0022,Ave Events Calendar - PROBLEM??
T20210422.0343,Automatic Reply For After Hours and Weekends
T20210421.0187,FW: Ave Maria - - Oliver
T20210414.0151,Synergetic upgrade to v70
T20210409.0124,New Synergetic User
T20210408.0064,Rapid Addressing Tool - Request
T20210407.0224,Synergetic Assistance
T20210401.0203,Ticket - Urgent
T20210330.0184,Synergetic - Purchase Order
T20210326.0325,Synergetic forms
T20210323.0412,FW: Update for Ave Events Calendar to be updated
T20210319.0135,Power Bi - Synergetic
T20210318.0229,FW: Ave Maria - - Oliver
T20210317.0189,Calendar Event Update
T20210317.0111,Avespace Calendar Entry - 27 April
T20210316.0401,Year 7 Email Addresses in Synergetic
T20210316.0243,Unable to attach items to Calendar Event
T20210304.0175,FW: Unable to upload into GL Docman
T20210303.0212,Ave Maria - Oliver Wonde installation
T20210302.0303,Car Park Workflow on Ave Calendar
T20210302.0218,instructions-schools-transfer-contact-details-local-council-synergetic
T20210302.0158,Synergetic Servers - Upgrade
T20210226.0091,FW: SYS-4203 Synergetic test major upgrade to v70
T20210224.0434,Synergetic Upgrade V7 to Dev servers
T20210224.0120,Ave Administration Logo Update
T20210223.0235,College Phones added to Events Calendar - HIGH PRIORITY
T20210219.0228,synergetic help
T20210219.0074,Synergetic Security Audit
T20210215.0210,SharePoint permissions change
T20210205.0202,FW: AveSpace Calendar Approval 1 request
T20210205.0140,College Mobile Numbers on Events Calendar
T20210204.0329,Consent to Use Image - Synergetic Options
T20210204.0080,FW: Wande Install - Synergetic\Oliver
T20210203.0246,Synergetic error
T20210202.0752,College Phones on Ave Admin Event Calendar
T20210201.0202,MRO - Synergetic Flags
T20210128.0664,Add students to New 2021 class MS Teams
T20210128.0066,Student Birthdays
T20210127.0178,De activate Library page - Student Access
T20210125.0287,Action Centre not working for Manuela
T20210125.0054,Office Online - Templates
T20210120.0172,Create new 2021 Class Teams
T20210119.0295,Synergetic new user - create AD Accounts
T20210119.0147,Year 7 2021 Students - Synergetic
T20210118.0176,SharePoint\ Teams Name changes
T20210113.0144,FW: Campion Secure Connect  - Staff Data
T20210112.0253,Synergetic Questions
T20210112.0084,Archive MS Class Teams
T20201217.0077,Deploying a new Font
T20201216.0076,FW: Ave Calendar Risk Minimisation forms incorrect path
T20201215.0165,Sharepoint access LET
T20201215.0159,Ave Maria College - 2021 Class Teams Creation
T20201211.0103,POC of PowerAutomate UI flow
T20201204.0043,Synergetic
T20201203.0216,FW: HR spreadsheet for mail merge
T20201202.0212,Teams Rollover 2021
T20201202.0152,Ave - Teams Export Information
T20201130.0212,Exchange Members of DL's
T20201029.0179,Medical Records Issue check
T20201016.0371,Synergetic - HR error
T20201016.0081,Ave Maria - Process for entering New user into Simon
T20201016.0078,Ave Weekly Project Catchup
T20201012.0052,Ave - Leave form
T20201009.0088,Synergetic - Deceased Parent
T20201009.0079,Synergetic Report require for Business manager
T20201005.0035,Sharepoint - Principals request New Landing page required
T20200923.0046,Debtor Statements - Crystal report error
T20200915.0042,Actione Center messages
T20200908.0223,Ave User Form - Confirmation of Return
T20200904.0097,Synergetic Access for New Manager
T20200902.0290,Synergetic Emails
T20200828.0289,Ave - Synergetic Report from old Server
T20200826.0213,Ave Maria Synergetic - PowerBi
T20200825.0108,Synergetic
T20200821.0290,Synergetic Student Export
T20200819.0357,Ave Calendar workflows
T20200804.0359,Teams attendance list - Automated 
T20200727.0193,MS Query
T20200724.0185,Ave - Quick Calendar change
T20200721.0414,Ave Calendar changes -
T20200720.0484,Synergetic Action Centre
T20200720.0415,Simon & Portal
T20200720.0170,Synergetic Not Functioning Correctly
T20200716.0118,Crystal Report for Staff Checks
T20200713.0375,FW: Simon\ Teams and Virtual Parent Teacher Interviews.
T20200713.0047,Teams Sync
T20200707.0102,MS Queries - Synergetic
T20200703.0081,permission in synergetic
T20200630.0204,SharePoint Audit
T20200624.0429,Ave Maria SharePoint Issue
T20200619.0191,Solutions Ave - Final Calendar changes
T20200619.0180,Ave Maria - Sem 2 Timetable Import to Teams
T20200616.0161,SharePoint Changes required for Principal
T20200602.0170,School Data Sync - assistance
T20200522.0071,Synergetic  SQL Query - Staff Medical Condition and Dietary
T20200522.0048,Exported files for Data Sync
T20200520.0052,Data Sync - Microsoft Pilot
T20200505.0437,Dashboard for O365 Student usage
T20200504.0265,Azure SDS syncing
T20200430.0340,Synergetic  SQL Query - Staff Medical Condition and Dietary
T20200428.0349,FW: Tiana Marrocco wants to access 'AveSpace'
T20200423.0175,Calendar Workflows
T20200421.0393,Change to Sharepoint library web page
